time,iso3_ref,iso3_cp,Source country,Sector,Sub-sector,Cluster,Activity,Jobs created,Capital investment,Project status,Destination state,Aggregate
2022-06-01,USA,CAN,Canada,Energy,Green Tech,Commodities,M&A,902,2347100344.0,Opened,North Carolina,NAFTA (-US)
2023-03-01,USA,KEN,Kenya,Manufacturing,Transport,Automotive Hub,Expansion,168,222115474.0,Announced,Florida,Other
2021-02-01,USA,DEU,Germany,Manufacturing,Hardware,Industrial,M&A,2241,1326633732.0,Announced,Washington,EU
2019-04-01,USA,CHN,China,Manufacturing,Transport,Automotive Hub,Headquarters,2331,2071509647.0,Announced,Florida,China
2023-01-01,USA,CHN,China,Aerospace,Transport,Industrial,M&A,390,509120807.0,Opened,Pennsylvania,China
2022-08-01,USA,CAN,Canada,Mining,Oil & Gas,Green Growth,New Investment,525,2374058786.0,Announced,Pennsylvania,NAFTA (-US)
2025-01-01,USA,CHN,China,Logistics,Banking,Industrial,Expansion,659,1703385099.0,Announced,Illinois,China
2022-10-01,USA,DEU,Germany,Automotive,Batteries,Automotive Hub,New Investment,891,675683283.0,Opened,Virginia,EU
2025-03-01,USA,MEX,Mexico,Logistics,Renewables,Deep Tech,Innovation Center,452,2684679915.0,Opened,Texas,NAFTA (-US)
2020-05-01,USA,DEU,Germany,Automotive,Batteries,Automotive Hub,Expansion,1538,2889437362.0,Announced,Florida,EU
2017-12-01,USA,ISR,Israel,Energy,Green Tech,Commodities,Expansion,313,200695076.0,Opened,Massachusetts,Other
2018-02-01,USA,CHN,China,Semiconductors,AI,Digital Economy,Innovation Center,840,1075951430.0,Opened,New York,China
2023-05-01,USA,ZAF,South Africa,Manufacturing,Transport,Industrial,Innovation Center,206,259174070.0,Opened,Georgia,BRICS
2020-12-01,USA,MEX,Mexico,Automotive,Robotics,Automotive Hub,Manufacturing Plant,451,2697411058.0,Opened,Illinois,NAFTA (-US)
2025-01-01,USA,JPN,Japan,Finance,E-commerce,Services,Innovation Center,1234,1063247667.0,Announced,Ohio,Other
2019-05-01,USA,CHN,China,Manufacturing,Transport,Industrial,Innovation Center,464,699485319.0,Opened,California,China
2018-05-01,USA,CHN,China,Manufacturing,Transport,Automotive Hub,Expansion,113,85221707.0,Announced,Illinois,China
2017-03-01,USA,CAN,Canada,Mining,Renewables,Commodities,Innovation Center,2379,822375620.0,Announced,California,NAFTA (-US)
2019-09-01,USA,SGP,Singapore,IT,Hardware,Digital Economy,R&D,283,157633995.0,Opened,Washington,Other
2021-05-01,USA,CHN,China,Automotive,Robotics,Industrial,Innovation Center,1425,1434933664.0,Announced,Pennsylvania,China
2023-05-01,USA,PRT,Portugal,Manufacturing,Batteries,Automotive Hub,Manufacturing Plant,517,13018331.0,Opened,North Carolina,EU
2021-11-01,USA,CHN,China,Semiconductors,AI,Tech,R&D,2166,1061621943.0,Announced,Illinois,China
2016-09-01,USA,POL,Poland,Energy,Renewables,Commodities,Headquarters,59,153780861.0,Announced,Illinois,EU
2023-04-01,USA,ESP,Spain,Energy,Green Tech,Commodities,Innovation Center,50,248306863.0,Announced,North Carolina,EU
2016-01-01,USA,CAN,Canada,Energy,Green Tech,Commodities,Manufacturing Plant,19,2910216213.0,Opened,Ohio,NAFTA (-US)
2024-12-01,USA,COL,Colombia,Agriculture,Insurance,Automotive Hub,Manufacturing Plant,197,309914810.0,Announced,Georgia,Other
2016-08-01,USA,CHN,China,Construction,Transport,Automotive Hub,R&D,1474,882392349.0,Opened,California,China
2023-04-01,USA,CHN,China,Semiconductors,Cloud,Tech,Innovation Center,452,2756428236.0,Announced,Washington,China
2021-03-01,USA,MAR,Morocco,Manufacturing,Robotics,Automotive Hub,R&D,84,199826421.0,Announced,North Carolina,Other
2016-11-01,USA,NLD,Netherlands,Manufacturing,Transport,Industrial,Logistics Hub,391,31476622.0,Opened,Ohio,EU
2022-09-01,USA,DEU,Germany,Automotive,Transport,Industrial,New Investment,215,854864717.0,Announced,Pennsylvania,EU
2016-08-01,USA,FRA,France,Pharma,Insurance,Digital Economy,New Investment,2263,1796930258.0,Opened,Texas,EU
2018-11-01,USA,FIN,Finland,IT,Software,Deep Tech,R&D,128,4236405.0,Opened,California,EU
2018-11-01,USA,CHN,China,Semiconductors,Cloud,Deep Tech,Logistics Hub,760,1193568604.0,Opened,New York,China
2018-09-01,USA,CHN,China,Manufacturing,Robotics,Industrial,R&D,1816,1186981521.0,Announced,Massachusetts,China
2016-05-01,USA,PER,Peru,IT,Hardware,Deep Tech,R&D,361,49509063.0,Announced,North Carolina,Other
2024-10-01,USA,GBR,United Kingdom,Finance,E-commerce,Services,Innovation Center,2266,1933435773.0,Opened,Pennsylvania,UK
2024-07-01,USA,CAN,Canada,Energy,Renewables,Commodities,Headquarters,1693,770565456.0,Opened,Virginia,NAFTA (-US)
2019-05-01,USA,CHN,China,Semiconductors,Hardware,Deep Tech,Innovation Center,2370,2352917369.0,Announced,Florida,China
2018-04-01,USA,MEX,Mexico,Logistics,Renewables,Digital Economy,Headquarters,1349,1733653117.0,Announced,Pennsylvania,NAFTA (-US)
2016-07-01,USA,MEX,Mexico,Manufacturing,Hardware,Automotive Hub,Headquarters,681,815450513.0,Announced,Massachusetts,NAFTA (-US)
2022-01-01,USA,CHE,Switzerland,Manufacturing,Robotics,Automotive Hub,R&D,474,353174291.0,Announced,Pennsylvania,Other
2021-12-01,USA,GBR,United Kingdom,Finance,Insurance,Services,Logistics Hub,425,878265584.0,Announced,Texas,UK
2016-12-01,USA,KEN,Kenya,Manufacturing,Transport,Industrial,M&A,204,318208902.0,Announced,Washington,Other
2018-10-01,USA,PER,Peru,Manufacturing,Batteries,Industrial,Headquarters,387,345227337.0,Opened,Illinois,Other
2018-09-01,USA,SWE,Sweden,Manufacturing,Hardware,Automotive Hub,New Investment,98,79801871.0,Announced,Florida,EU
2019-12-01,USA,COL,Colombia,IT,AI,Digital Economy,Logistics Hub,514,161096635.0,Announced,Georgia,Other
2017-11-01,USA,CHN,China,Manufacturing,Transport,Automotive Hub,Headquarters,2214,618425817.0,Opened,Pennsylvania,China
2021-02-01,USA,ARE,UAE,Manufacturing,Robotics,Automotive Hub,Expansion,439,330824294.0,Opened,Massachusetts,Other
2023-04-01,USA,CHN,China,Manufacturing,Transport,Automotive Hub,Manufacturing Plant,219,324829148.0,Announced,New York,China
2019-01-01,USA,CHN,China,Manufacturing,Transport,Industrial,New Investment,1519,293692755.0,Announced,Washington,China
2024-03-01,USA,CHN,China,Semiconductors,Batteries,Digital Economy,Manufacturing Plant,950,2988627411.0,Announced,Georgia,China
2019-08-01,USA,GBR,United Kingdom,Finance,E-commerce,Fintech,Headquarters,403,2678751123.0,Announced,Virginia,UK
2024-08-01,USA,MEX,Mexico,Automotive,Robotics,Automotive Hub,New Investment,2415,2376944769.0,Opened,Washington,NAFTA (-US)
2023-02-01,USA,KEN,Kenya,IT,Software,Deep Tech,Headquarters,414,71633524.0,Announced,Texas,Other
2023-07-01,USA,ARE,UAE,Energy,Oil & Gas,Commodities,M&A,134,4035598.0,Announced,California,Other
2018-11-01,USA,NLD,Netherlands,Manufacturing,Robotics,Industrial,New Investment,283,219356233.0,Announced,Massachusetts,EU
2021-05-01,USA,CHN,China,Semiconductors,Cloud,Tech,Expansion,73,2886658719.0,Opened,New York,China
2024-03-01,USA,VNM,Vietnam,Manufacturing,Robotics,Industrial,Expansion,560,359074437.0,Announced,California,Other
2024-05-01,USA,MEX,Mexico,Automotive,Batteries,Industrial,R&D,745,2258305786.0,Opened,California,NAFTA (-US)
2019-11-01,USA,CHN,China,Manufacturing,Hardware,Industrial,Innovation Center,100,1071899002.0,Opened,Ohio,China
2022-06-01,USA,IND,India,IT,Cybersecurity,Tech,Expansion,2306,747875075.0,Opened,North Carolina,BRICS
2016-03-01,USA,GBR,United Kingdom,IT,AI,Deep Tech,Manufacturing Plant,1089,502994834.0,Announced,North Carolina,UK
2016-01-01,USA,ITA,Italy,Manufacturing,Hardware,Automotive Hub,R&D,154,318391576.0,Announced,New York,EU
2016-05-01,USA,CHN,China,Energy,Green Tech,Commodities,Logistics Hub,2314,2629828724.0,Opened,Massachusetts,China
2023-06-01,USA,CAN,Canada,Energy,Green Tech,Green Growth,New Investment,662,28899540.0,Announced,Pennsylvania,NAFTA (-US)
2017-02-01,USA,GBR,United Kingdom,Finance,E-commerce,Services,Manufacturing Plant,1272,2523862101.0,Opened,Florida,UK
2024-07-01,USA,MEX,Mexico,Automotive,Transport,Automotive Hub,New Investment,610,1604605661.0,Opened,Georgia,NAFTA (-US)
2018-03-01,USA,MEX,Mexico,Finance,Banking,Fintech,New Investment,25,217048364.0,Announced,Texas,NAFTA (-US)
2016-09-01,USA,CHN,China,Manufacturing,Batteries,Industrial,Expansion,284,2695234304.0,Opened,Pennsylvania,China
2022-07-01,USA,CHN,China,Automotive,Transport,Industrial,Headquarters,301,2503848323.0,Opened,Ohio,China
2017-03-01,USA,CHN,China,Manufacturing,Robotics,Automotive Hub,M&A,1031,1087262832.0,Announced,Ohio,China
2023-06-01,USA,ARG,Argentina,Manufacturing,Batteries,Industrial,Manufacturing Plant,137,323414499.0,Announced,Massachusetts,Other
2019-06-01,USA,NGA,Nigeria,Energy,Renewables,Energy,R&D,83,354882752.0,Opened,Virginia,Other
2022-05-01,USA,FIN,Finland,Energy,Renewables,Energy,R&D,420,385894956.0,Announced,Massachusetts,EU
2020-03-01,USA,GBR,United Kingdom,IT,Batteries,Digital Economy,Expansion,2094,809975721.0,Announced,Virginia,UK
2021-03-01,USA,CAN,Canada,Energy,Renewables,Green Growth,R&D,2310,2856329701.0,Opened,Illinois,NAFTA (-US)
2023-12-01,USA,ESP,Spain,IT,Cybersecurity,Digital Economy,New Investment,370,251811189.0,Announced,New York,EU
2024-07-01,USA,CHN,China,Semiconductors,Batteries,Tech,Headquarters,690,398023394.0,Opened,Pennsylvania,China
2025-05-01,USA,IND,India,IT,AI,Deep Tech,M&A,1780,362271380.0,Announced,Ohio,BRICS
2020-04-01,USA,IND,India,IT,Batteries,Digital Economy,Innovation Center,1433,1864305883.0,Opened,California,BRICS
2023-12-01,USA,CHN,China,Semiconductors,Software,Tech,M&A,367,1111358030.0,Opened,Florida,China
2016-04-01,USA,FIN,Finland,IT,Cloud,Deep Tech,New Investment,379,272436442.0,Announced,North Carolina,EU
2023-10-01,USA,SWE,Sweden,Manufacturing,Transport,Industrial,Logistics Hub,248,201530730.0,Announced,Georgia,EU
2024-05-01,USA,COL,Colombia,Manufacturing,Hardware,Automotive Hub,New Investment,377,196374888.0,Opened,Massachusetts,Other
2017-11-01,USA,IND,India,IT,Batteries,Deep Tech,Headquarters,2218,876479276.0,Announced,Georgia,BRICS
2024-07-01,USA,CHN,China,Automotive,Transport,Automotive Hub,New Investment,2087,856059568.0,Opened,Texas,China
2025-01-01,USA,CHN,China,Semiconductors,Cybersecurity,Tech,Manufacturing Plant,151,215028142.0,Opened,Virginia,China
2017-03-01,USA,MEX,Mexico,Logistics,Banking,Industrial,New Investment,1504,59236718.0,Announced,Ohio,NAFTA (-US)
2019-07-01,USA,MEX,Mexico,Automotive,Robotics,Industrial,New Investment,1024,1066967934.0,Announced,Illinois,NAFTA (-US)
2018-05-01,USA,CHN,China,Energy,Green Tech,Energy,R&D,2041,68117165.0,Opened,North Carolina,China
2018-12-01,USA,NOR,Norway,IT,AI,Digital Economy,Logistics Hub,69,331535978.0,Opened,New York,Other
2017-01-01,USA,IND,India,IT,Batteries,Deep Tech,Headquarters,944,268748391.0,Announced,Ohio,BRICS
2018-08-01,USA,IND,India,IT,AI,Tech,Expansion,2251,1971334524.0,Opened,Illinois,BRICS
2021-11-01,USA,CHN,China,Semiconductors,Software,Digital Economy,Manufacturing Plant,946,925097085.0,Opened,Massachusetts,China
2020-11-01,USA,CAN,Canada,Mining,Oil & Gas,Green Growth,M&A,1338,2564706784.0,Opened,Massachusetts,NAFTA (-US)
2023-02-01,USA,IND,India,IT,Software,Deep Tech,New Investment,331,2554860367.0,Opened,Virginia,BRICS
2018-04-01,USA,CHN,China,Biotech,Software,Energy,Innovation Center,338,1598788509.0,Opened,Washington,China
2021-06-01,USA,CAN,Canada,Energy,Renewables,Green Growth,Manufacturing Plant,1328,1430573878.0,Opened,Ohio,NAFTA (-US)
2019-06-01,USA,JPN,Japan,Manufacturing,Batteries,Industrial,Logistics Hub,1674,1646393278.0,Announced,Washington,Other
2019-09-01,USA,JPN,Japan,IT,Batteries,Digital Economy,R&D,275,2119770595.0,Opened,Texas,Other
2021-02-01,USA,CAN,Canada,Energy,Renewables,Green Growth,Manufacturing Plant,2367,2337752972.0,Announced,Massachusetts,NAFTA (-US)
2020-09-01,USA,KOR,South Korea,Manufacturing,Transport,Automotive Hub,R&D,504,323533805.0,Announced,Pennsylvania,Other
2016-06-01,USA,JPN,Japan,Automotive,Hardware,Automotive Hub,Headquarters,2435,2649265417.0,Announced,Florida,Other
2018-04-01,USA,MEX,Mexico,Automotive,Robotics,Industrial,R&D,870,1088360758.0,Announced,Texas,NAFTA (-US)
2018-04-01,USA,CHN,China,Semiconductors,Cybersecurity,Digital Economy,Expansion,1912,2239806509.0,Opened,Massachusetts,China
2024-12-01,USA,CHN,China,Automotive,Robotics,Industrial,R&D,1800,294227954.0,Opened,California,China
2019-08-01,USA,MEX,Mexico,Automotive,Robotics,Automotive Hub,Headquarters,494,1594117929.0,Opened,Florida,NAFTA (-US)
2022-12-01,USA,CAN,Canada,Energy,Renewables,Energy,Logistics Hub,390,2312318104.0,Opened,North Carolina,NAFTA (-US)
2018-06-01,USA,FIN,Finland,IT,Cybersecurity,Digital Economy,Manufacturing Plant,295,81175216.0,Announced,Florida,EU
2021-02-01,USA,CHE,Switzerland,Manufacturing,Batteries,Industrial,Innovation Center,549,178282440.0,Opened,Washington,Other
2022-03-01,USA,SAU,Saudi Arabia,IT,Cybersecurity,Tech,Headquarters,568,160717306.0,Announced,New York,Other
2023-08-01,USA,CHN,China,Semiconductors,Hardware,Deep Tech,New Investment,445,1066999466.0,Announced,North Carolina,China
2023-05-01,USA,VEN,Venezuela,Energy,Renewables,Energy,Manufacturing Plant,123,345776635.0,Opened,Florida,Other
2024-07-01,USA,MEX,Mexico,Manufacturing,Robotics,Industrial,Logistics Hub,742,1836733753.0,Announced,Virginia,NAFTA (-US)
2021-02-01,USA,GBR,United Kingdom,Finance,Banking,Services,Headquarters,680,1900918499.0,Opened,Virginia,UK
2024-01-01,USA,PRT,Portugal,IT,AI,Deep Tech,Expansion,252,83469226.0,Announced,California,EU
2016-01-01,USA,CHN,China,Semiconductors,Cybersecurity,Digital Economy,Manufacturing Plant,1573,275105179.0,Announced,Illinois,China
2018-03-01,USA,CHN,China,Manufacturing,Robotics,Automotive Hub,Innovation Center,63,1255975893.0,Announced,Texas,China
2021-02-01,USA,PRT,Portugal,Manufacturing,Hardware,Industrial,R&D,512,296206794.0,Opened,Georgia,EU
2022-05-01,USA,CHN,China,Automotive,Transport,Industrial,New Investment,1229,1293183043.0,Opened,Texas,China
